customer_id,company_size,subscription_plan,months_active,monthly_revenue,days_since_last_login,monthly_logins,features_used,support_tickets,satisfaction_score,payment_failures,churned
CUST_00044,Medium,Pro,1,99,10,7,2,0,3.5,0,True
CUST_00045,Small,Basic,11,29,0,3,5,1,4.3,0,False
CUST_00046,Small,Basic,3,29,0,3,1,2,4.0,0,True
CUST_00047,Medium,Pro,4,99,0,17,8,0,2.7,1,True
CUST_00048,Small,Basic,2,29,0,5,1,0,1.5,1,True
CUST_00049,Large,Pro,13,99,1,11,4,1,4.2,0,False
CUST_00050,Small,Basic,5,29,1,9,1,0,5.0,0,True
CUST_00051,Small,Basic,36,29,1,2,5,1,2.9,0,True
CUST_00052,Large,Pro,26,99,0,8,3,2,4.3,0,False
CUST_00053,Small,Pro,8,99,3,6,2,1,4.9,0,True
CUST_00054,Medium,Basic,2,29,11,12,1,0,4.2,0,True
CUST_00055,Medium,Pro,6,99,11,11,2,1,3.2,0,False
CUST_00056,Large,Basic,13,29,0,16,2,2,4.4,0,False
CUST_00057,Small,Enterprise,7,299,2,21,3,0,5.0,1,False
CUST_00058,Medium,Enterprise,9,299,0,21,8,3,4.1,0,False
CUST_00059,Small,Basic,12,29,0,14,6,0,1.7,0,False
CUST_00060,Small,Basic,4,29,0,7,1,0,5.0,0,False
CUST_00061,Small,Enterprise,1,299,2,14,3,0,4.2,0,False
CUST_00062,Large,Basic,1,29,0,28,1,1,1.9,0,True
CUST_00063,Small,Pro,23,99,2,3,1,0,5.0,0,False
CUST_00064,Small,Basic,2,29,5,5,4,0,4.8,1,True
CUST_00065,Medium,Basic,2,29,11,4,1,1,5.0,0,True
CUST_00066,Medium,Basic,7,29,2,1,9,1,4.0,1,True
CUST_00067,Small,Basic,6,29,5,14,3,1,3.8,0,True
CUST_00068,Large,Basic,6,29,1,22,5,0,4.3,0,False
CUST_00069,Small,Enterprise,4,299,2,13,2,0,4.2,0,True
CUST_00070,Small,Pro,2,99,4,23,2,0,3.4,0,True
CUST_00071,Small,Pro,1,99,0,8,10,0,4.0,1,False
CUST_00072,Small,Basic,3,29,0,7,5,3,4.8,0,False
CUST_00073,Small,Enterprise,23,299,0,10,5,1,4.1,3,False
CUST_00074,Medium,Basic,14,29,0,2,4,1,3.7,0,False
CUST_00075,Medium,Basic,7,29,10,8,3,2,5.0,0,False
CUST_00076,Small,Pro,16,99,20,6,8,0,3.7,0,True
CUST_00077,Small,Basic,1,29,21,4,9,2,3.0,0,False
CUST_00078,Large,Basic,7,29,0,8,4,0,3.5,0,False
CUST_00079,Small,Basic,27,29,10,5,8,0,3.4,0,False
CUST_00080,Small,Basic,7,29,4,5,2,3,3.8,0,True
CUST_00081,Medium,Basic,1,29,1,4,1,0,4.7,0,False
CUST_00082,Medium,Pro,15,99,10,20,4,2,4.9,1,True
CUST_00083,Medium,Basic,3,29,6,9,2,0,4.8,1,True
CUST_00084,Medium,Basic,12,29,0,2,4,2,4.0,1,True
CUST_00085,Small,Pro,1,99,4,15,1,3,5.0,0,True
CUST_00086,Small,Enterprise,4,299,3,7,5,0,5.0,0,False
CUST_00087,Small,Enterprise,1,299,2,7,5,0,4.0,1,True
CUST_00088,Small,Pro,3,99,9,9,4,3,4.5,0,False
CUST_00089,Medium,Pro,5,99,0,9,1,1,2.4,0,True
CUST_00090,Small,Basic,1,29,2,11,1,2,4.8,0,True
CUST_00091,Small,Enterprise,1,299,3,17,6,0,3.1,0,True
CUST_00092,Small,Basic,1,29,4,8,2,0,4.6,0,False
CUST_00093,Small,Enterprise,1,299,3,11,4,0,4.1,0,False
CUST_00094,Medium,Basic,10,29,0,13,1,0,3.5,1,True
CUST_00095,Medium,Pro,5,99,4,4,5,1,3.5,0,True
CUST_00096,Small,Pro,10,99,6,9,1,2,3.9,1,True
CUST_00097,Small,Basic,19,29,1,20,8,2,4.8,0,False
CUST_00098,Small,Pro,5,99,1,7,6,1,4.4,0,False
CUST_00099,Small,Pro,1,99,17,7,3,1,2.7,0,True
CUST_00100,Medium,Basic,1,29,0,12,7,3,3.7,0,False
CUST_00101,Large,Basic,1,29,3,5,3,0,2.0,2,False
CUST_00102,Medium,Pro,4,99,3,23,2,0,3.1,0,False
CUST_00103,Small,Pro,4,99,10,11,6,1,4.5,0,False
CUST_00104,Medium,Basic,21,29,5,3,5,1,5.0,0,False
CUST_00105,Medium,Pro,4,99,1,6,5,1,4.7,0,False
CUST_00106,Small,Basic,3,29,2,4,9,1,4.2,0,False
CUST_00107,Small,Basic,15,29,3,5,1,1,2.4,0,False
CUST_00108,Medium,Enterprise,1,299,1,6,4,1,4.0,0,False
CUST_00109,Small,Pro,6,99,1,4,1,0,4.9,0,True
CUST_00110,Small,Basic,9,29,0,2,4,2,4.5,0,False
CUST_00111,Large,Basic,1,29,4,8,1,0,3.3,1,True
CUST_00112,Small,Pro,4,99,4,10,1,0,4.0,0,False
CUST_00113,Small,Basic,7,29,3,7,4,1,3.2,0,False
CUST_00114,Small,Basic,10,29,4,6,2,0,2.9,0,True
CUST_00115,Medium,Basic,12,29,1,4,4,0,4.8,0,False
CUST_00116,Large,Pro,6,99,6,5,3,0,3.0,0,True
CUST_00117,Small,Pro,3,99,5,11,2,2,3.3,0,True
CUST_00118,Medium,Pro,9,99,0,9,1,2,2.7,0,True
CUST_00119,Medium,Basic,20,29,3,8,3,3,3.8,0,False
CUST_00120,Small,Enterprise,8,299,8,4,10,0,3.7,0,True
CUST_00121,Small,Basic,1,29,0,10,3,1,4.3,0,False
CUST_00122,Medium,Basic,1,29,7,4,3,0,3.7,0,True
CUST_00123,Small,Basic,9,29,0,8,3,0,4.5,0,False
CUST_00124,Large,Basic,1,29,2,25,4,0,4.8,0,False
CUST_00125,Small,Basic,11,29,0,2,3,3,4.1,0,False
CUST_00126,Small,Basic,1,29,1,4,1,1,3.6,2,True
CUST_00127,Medium,Basic,2,29,9,23,2,2,2.8,0,True
CUST_00128,Medium,Basic,1,29,6,8,1,2,3.0,0,True
CUST_00129,Medium,Pro,2,99,0,13,1,0,4.3,0,False
CUST_00130,Medium,Basic,27,29,8,4,3,3,4.3,0,False
CUST_00131,Small,Basic,4,29,2,11,3,0,4.3,0,False
CUST_00132,Large,Pro,20,99,1,12,7,2,3.9,0,False
CUST_00133,Large,Basic,1,29,0,12,5,2,4.2,0,False
CUST_00134,Medium,Pro,8,99,7,28,2,2,4.0,0,False
CUST_00135,Small,Basic,10,29,4,5,1,0,3.2,1,True
CUST_00136,Small,Basic,16,29,28,11,10,1,3.6,0,False
CUST_00137,Small,Pro,3,99,7,8,1,0,5.0,0,False
CUST_00138,Medium,Pro,2,99,8,22,7,2,3.4,0,True
CUST_00139,Small,Basic,1,29,4,8,5,1,5.0,0,False
CUST_00140,Medium,Basic,3,29,2,6,3,1,2.2,0,False
CUST_00141,Medium,Basic,12,29,3,3,3,1,4.9,0,False
CUST_00142,Small,Pro,8,99,15,12,3,0,3.8,1,True
CUST_00143,Medium,Basic,11,29,0,5,3,0,1.6,0,False
CUST_00144,Small,Pro,26,99,4,13,3,2,3.4,0,False
CUST_00145,Medium,Basic,28,29,4,4,2,0,4.2,0,True
CUST_00146,Large,Pro,1,99,6,15,3,0,3.2,1,False
CUST_00147,Small,Basic,8,29,3,8,1,0,3.4,0,True
CUST_00148,Small,Pro,5,99,1,11,2,1,2.4,0,True
CUST_00149,Large,Basic,5,29,0,14,4,1,2.2,0,False
CUST_00150,Medium,Pro,4,99,12,9,4,0,3.2,1,True
CUST_00151,Large,Basic,1,29,1,9,5,1,4.2,0,False
CUST_00152,Small,Enterprise,8,299,5,9,2,0,5.0,0,False
CUST_00153,Medium,Pro,1,99,6,9,2,1,5.0,0,True
CUST_00154,Small,Pro,3,99,0,7,2,1,3.6,0,False
CUST_00155,Small,Pro,5,99,19,4,4,1,4.3,0,False
CUST_00156,Small,Pro,9,99,3,6,6,3,2.7,0,False
CUST_00157,Medium,Basic,1,29,2,14,3,1,3.5,0,False
CUST_00158,Small,Pro,2,99,12,7,6,1,3.5,0,False
CUST_00159,Small,Basic,1,29,3,12,1,1,5.0,1,True
CUST_00160,Small,Pro,1,99,4,8,7,1,5.0,1,True
CUST_00161,Small,Basic,4,29,7,10,2,2,5.0,0,False
CUST_00162,Small,Basic,5,29,5,8,4,1,3.3,0,True
CUST_00163,Small,Basic,28,29,2,3,4,0,2.8,0,True
CUST_00164,Small,Basic,1,29,0,14,2,0,3.8,0,False
CUST_00165,Small,Basic,5,29,10,11,2,1,3.3,1,True
CUST_00166,Small,Pro,24,99,8,8,1,1,3.1,0,False
CUST_00167,Small,Basic,3,29,14,6,1,0,5.0,0,False
CUST_00168,Medium,Pro,10,99,0,3,3,0,5.0,0,True
CUST_00169,Medium,Basic,10,29,5,5,1,0,5.0,0,False
CUST_00170,Small,Pro,13,99,9,7,5,1,5.0,0,True
CUST_00171,Small,Basic,17,29,2,14,3,0,3.8,0,False
CUST_00172,Small,Pro,7,99,2,21,2,0,4.5,0,True
CUST_00173,Small,Basic,1,29,0,8,1,0,3.6,1,False
CUST_00174,Medium,Pro,33,99,1,7,4,1,5.0,0,False
CUST_00175,Small,Basic,2,29,1,24,1,1,3.1,0,True
CUST_00176,Small,Pro,5,99,2,14,10,1,5.0,0,False
CUST_00177,Large,Pro,6,99,10,2,2,0,4.3,2,True
CUST_00178,Large,Basic,15,29,4,2,1,1,5.0,2,False
CUST_00179,Medium,Basic,24,29,1,6,2,1,5.0,1,True
CUST_00180,Medium,Enterprise,1,299,3,14,6,0,5.0,0,False
CUST_00181,Large,Basic,49,29,5,5,5,0,4.5,0,False
CUST_00182,Medium,Pro,14,99,4,7,1,1,3.2,0,False
CUST_00183,Small,Enterprise,5,299,1,6,8,0,4.0,0,False
CUST_00184,Small,Basic,2,29,8,7,5,1,4.1,0,True
CUST_00185,Medium,Basic,17,29,3,8,10,1,5.0,0,False
CUST_00186,Medium,Basic,5,29,0,4,6,0,3.5,0,True
CUST_00187,Small,Basic,1,29,1,8,1,0,5.0,0,False
CUST_00188,Small,Pro,17,99,2,6,5,1,5.0,0,True
CUST_00189,Small,Pro,8,99,16,3,3,0,4.2,0,True
CUST_00190,Small,Basic,25,29,3,2,1,1,3.5,1,True
CUST_00191,Medium,Basic,16,29,1,17,1,2,4.8,0,False
CUST_00192,Medium,Basic,17,29,1,5,2,0,2.5,0,True
CUST_00193,Small,Basic,4,29,3,3,3,1,3.7,0,False
CUST_00194,Medium,Basic,29,29,0,6,3,0,4.1,0,False
CUST_00195,Small,Basic,8,29,18,18,5,1,4.7,0,True
CUST_00196,Small,Basic,11,29,3,8,3,0,3.3,0,False
CUST_00197,Medium,Basic,1,29,8,5,9,0,3.0,1,True
CUST_00198,Large,Pro,1,99,0,3,2,0,5.0,0,True
CUST_00199,Medium,Basic,6,29,2,8,2,0,2.8,2,False
CUST_00200,Small,Enterprise,1,299,15,8,4,1,4.2,0,False
CUST_00201,Large,Enterprise,25,299,3,8,1,1,4.5,0,False
CUST_00202,Small,Basic,11,29,3,11,2,0,4.9,0,True
CUST_00203,Small,Basic,5,29,5,5,1,1,2.4,0,True
CUST_00204,Small,Pro,20,99,15,1,6,1,2.8,0,False
CUST_00205,Small,Basic,1,29,0,12,3,2,3.8,0,False
CUST_00206,Medium,Basic,3,29,11,17,2,0,2.7,0,False
CUST_00207,Small,Basic,1,29,14,9,7,0,3.6,0,False
CUST_00208,Medium,Basic,16,29,3,5,1,1,4.7,0,False
CUST_00209,Small,Basic,2,29,1,0,5,1,2.9,0,True
CUST_00210,Medium,Pro,1,99,2,17,1,2,4.4,1,True
CUST_00211,Medium,Basic,10,29,7,17,10,4,5.0,1,False
CUST_00212,Large,Basic,13,29,1,3,1,2,4.0,0,True
CUST_00213,Medium,Pro,3,99,0,11,3,2,4.5,1,False
CUST_00214,Medium,Pro,1,99,8,1,7,0,2.9,1,True
CUST_00215,Small,Pro,6,99,8,3,3,0,3.4,0,False
CUST_00216,Small,Pro,4,99,0,5,6,0,3.8,1,False
CUST_00217,Medium,Basic,4,29,6,5,1,1,3.0,0,True
CUST_00218,Large,Basic,4,29,6,5,9,0,3.9,0,False
CUST_00219,Medium,Enterprise,7,299,0,2,3,2,4.2,0,True
CUST_00220,Large,Basic,9,29,6,2,6,2,4.6,0,False
CUST_00221,Medium,Pro,4,99,0,9,2,1,2.4,0,True
CUST_00222,Large,Basic,1,29,2,9,2,0,5.0,0,True
CUST_00223,Medium,Pro,2,99,6,5,4,0,3.8,0,True
CUST_00224,Small,Basic,1,29,3,11,8,5,4.5,0,False
CUST_00225,Medium,Basic,3,29,12,3,1,3,4.3,0,True
CUST_00226,Medium,Basic,4,29,5,5,6,0,3.3,0,False
CUST_00227,Small,Pro,4,99,5,8,2,0,3.7,0,False
CUST_00228,Medium,Pro,1,99,1,3,1,0,5.0,0,True
CUST_00229,Large,Enterprise,3,299,2,5,2,1,3.1,1,False
CUST_00230,Large,Pro,4,99,4,10,1,0,4.1,0,True
CUST_00231,Small,Basic,17,29,1,19,2,1,3.7,0,False
CUST_00232,Small,Basic,25,29,4,1,8,2,1.4,1,True
CUST_00233,Small,Pro,1,99,2,8,1,1,4.7,0,True
CUST_00234,Small,Pro,1,99,3,22,6,0,4.3,1,False
CUST_00235,Small,Basic,12,29,3,20,1,2,3.9,0,False
CUST_00236,Small,Basic,27,29,0,5,3,2,2.9,0,True
CUST_00237,Small,Basic,4,29,6,5,5,0,2.9,0,False
CUST_00238,Medium,Basic,11,29,4,11,5,0,5.0,0,False
CUST_00239,Small,Pro,11,99,11,18,9,1,5.0,0,False
CUST_00240,Medium,Basic,1,29,1,4,1,1,4.2,0,False
CUST_00241,Medium,Pro,2,99,5,5,3,0,4.6,0,False
CUST_00242,Small,Basic,2,29,5,11,5,0,3.1,0,True
CUST_00243,Small,Basic,16,29,1,17,3,2,3.7,2,False
CUST_00244,Small,Basic,1,29,0,12,5,0,3.9,0,True
CUST_00245,Small,Pro,6,99,1,5,5,0,5.0,1,False
CUST_00246,Medium,Pro,7,99,4,20,2,3,2.5,2,False
CUST_00247,Medium,Basic,1,29,3,8,1,0,5.0,0,False
CUST_00248,Medium,Pro,2,99,0,15,9,1,3.7,0,False
CUST_00249,Medium,Pro,14,99,8,9,1,0,5.0,0,True
CUST_00250,Large,Basic,7,29,2,4,2,2,4.6,0,False
CUST_00251,Large,Basic,18,29,4,4,7,0,3.9,0,False
CUST_00252,Medium,Pro,22,99,0,5,2,1,2.3,0,True
CUST_00253,Small,Basic,1,29,1,5,2,1,4.2,0,False
CUST_00254,Small,Basic,5,29,1,16,4,1,2.6,0,True
CUST_00255,Small,Basic,13,29,0,12,10,3,3.7,0,False
CUST_00256,Large,Pro,3,99,1,19,3,1,3.7,0,False
CUST_00257,Medium,Basic,1,29,15,14,10,1,5.0,0,True
CUST_00258,Medium,Basic,6,29,1,4,1,0,2.9,0,True
CUST_00259,Small,Basic,6,29,9,9,4,0,3.0,1,True
CUST_00260,Small,Pro,12,99,4,5,4,0,4.8,0,False
CUST_00261,Small,Basic,19,29,3,7,1,1,4.5,1,True
CUST_00262,Medium,Basic,1,29,1,8,4,0,5.0,0,False
CUST_00263,Medium,Basic,1,29,2,5,4,0,5.0,0,False
CUST_00264,Small,Pro,2,99,5,5,2,0,4.7,1,True
CUST_00265,Small,Basic,1,29,16,10,3,1,4.3,0,True
CUST_00266,Large,Basic,10,29,6,10,2,0,3.8,0,False
CUST_00267,Large,Basic,3,29,13,9,1,1,3.8,0,False
CUST_00268,Medium,Basic,18,29,8,2,5,1,2.9,1,True
CUST_00269,Medium,Basic,1,29,1,4,1,2,2.1,0,True
CUST_00270,Small,Basic,6,29,11,7,6,2,5.0,1,True
CUST_00271,Small,Pro,12,99,0,3,8,1,4.6,0,True
CUST_00272,Medium,Basic,22,29,8,7,4,0,3.6,0,False
CUST_00273,Small,Basic,3,29,8,21,1,1,3.7,0,True
CUST_00274,Small,Basic,14,29,1,15,2,1,4.2,0,True
CUST_00275,Small,Basic,1,29,5,10,10,1,4.5,0,False
CUST_00276,Medium,Basic,3,29,3,15,2,1,3.7,0,False
CUST_00277,Medium,Basic,4,29,1,4,1,1,3.7,0,False
CUST_00278,Large,Basic,17,29,13,9,5,2,5.0,1,False
CUST_00279,Medium,Pro,4,99,2,5,5,1,3.5,0,False
CUST_00280,Small,Basic,1,29,19,7,4,3,3.3,1,True
CUST_00281,Medium,Pro,1,99,13,12,1,1,4.6,0,True
CUST_00282,Small,Pro,18,99,0,4,2,1,3.6,1,True
CUST_00283,Small,Basic,6,29,2,5,2,0,4.0,0,False
CUST_00284,Small,Enterprise,6,299,1,3,6,1,5.0,0,True
CUST_00285,Small,Pro,21,99,0,6,6,0,3.6,0,False
CUST_00286,Small,Basic,3,29,2,3,3,1,3.5,0,False
CUST_00287,Medium,Basic,1,29,2,5,4,2,2.9,0,True
CUST_00288,Small,Pro,13,99,5,6,7,0,2.8,0,False
CUST_00289,Small,Enterprise,30,299,7,13,6,1,4.2,0,False
CUST_00290,Small,Basic,15,29,1,8,4,1,3.0,0,False
CUST_00291,Large,Basic,1,29,19,5,2,1,4.9,0,True
CUST_00292,Small,Basic,11,29,1,3,5,0,5.0,0,False
CUST_00293,Small,Basic,21,29,2,9,1,0,5.0,0,False
CUST_00294,Large,Basic,17,29,4,8,10,1,3.8,0,False
CUST_00295,Small,Basic,9,29,11,12,7,0,5.0,0,True
CUST_00296,Small,Pro,8,99,4,15,1,0,4.2,0,False
CUST_00297,Medium,Pro,1,99,0,11,1,3,3.2,0,True
CUST_00298,Medium,Basic,7,29,2,6,2,0,4.0,0,False
CUST_00299,Large,Basic,13,29,1,9,9,0,3.1,0,False
CUST_00300,Small,Basic,9,29,6,10,4,1,5.0,1,True
CUST_00301,Large,Basic,5,29,4,3,3,0,3.1,0,False
CUST_00302,Small,Basic,9,29,1,13,1,2,3.5,0,False
CUST_00303,Medium,Basic,19,29,0,23,1,1,5.0,0,False
CUST_00304,Large,Basic,1,29,4,7,4,1,1.9,0,True
CUST_00305,Large,Basic,3,29,5,5,2,3,4.2,0,False
CUST_00306,Medium,Basic,3,29,0,3,2,0,5.0,1,True
CUST_00307,Medium,Basic,1,29,4,15,1,0,3.2,0,True
CUST_00308,Small,Enterprise,11,299,4,25,2,0,4.6,0,False
CUST_00309,Medium,Basic,21,29,5,4,1,1,3.6,0,True
CUST_00310,Large,Basic,1,29,2,9,7,2,4.5,0,False
CUST_00311,Medium,Pro,1,99,4,16,8,0,4.6,0,True
CUST_00312,Small,Basic,1,29,1,5,2,1,3.8,0,True
CUST_00313,Small,Basic,6,29,10,8,3,0,2.7,1,True
CUST_00314,Small,Basic,1,29,0,2,3,2,5.0,0,True
CUST_00315,Medium,Pro,4,99,3,1,3,0,4.5,0,True
CUST_00316,Small,Basic,12,29,5,2,10,0,5.0,1,False
CUST_00317,Medium,Basic,4,29,2,5,4,1,3.5,0,False
CUST_00318,Medium,Pro,1,99,5,6,1,2,3.0,0,True
CUST_00319,Large,Pro,19,99,23,18,8,1,2.8,0,True
CUST_00320,Small,Basic,6,29,4,11,1,2,4.6,0,False
CUST_00321,Medium,Basic,1,29,1,20,4,0,5.0,0,True
CUST_00322,Medium,Basic,7,29,14,7,1,1,5.0,0,True
CUST_00323,Large,Basic,17,29,4,8,9,1,3.6,0,False
CUST_00324,Small,Basic,6,29,4,21,1,0,2.5,0,True
CUST_00325,Medium,Basic,8,29,5,8,10,4,2.5,1,True
CUST_00326,Large,Basic,1,29,0,8,7,2,2.7,1,False
CUST_00327,Small,Pro,11,99,5,6,1,2,3.7,0,True
CUST_00328,Small,Pro,10,99,1,2,1,1,4.4,1,False
CUST_00329,Small,Basic,1,29,3,9,1,1,2.9,1,True
CUST_00330,Small,Pro,23,99,5,8,1,0,5.0,1,False
CUST_00331,Small,Pro,11,99,8,5,5,2,3.6,0,False
CUST_00332,Small,Basic,10,29,3,6,6,1,4.1,0,False
CUST_00333,Medium,Pro,9,99,0,20,7,2,5.0,0,False
CUST_00334,Small,Enterprise,9,299,4,4,1,1,4.4,0,True
CUST_00335,Small,Basic,4,29,10,8,1,0,4.0,0,False
CUST_00336,Medium,Basic,4,29,7,10,2,1,4.1,0,False
CUST_00337,Large,Basic,20,29,2,19,2,0,2.7,1,True
CUST_00338,Small,Basic,1,29,6,7,5,0,5.0,0,True
CUST_00339,Small,Enterprise,2,299,0,2,3,0,3.5,0,False
CUST_00340,Medium,Pro,16,99,0,7,8,2,4.2,1,False
CUST_00341,Small,Basic,4,29,1,8,6,0,3.5,0,False
CUST_00342,Small,Basic,6,29,1,1,1,1,3.8,0,True
CUST_00343,Small,Pro,1,99,5,6,4,0,3.5,1,False
CUST_00344,Small,Pro,1,99,3,7,3,1,2.8,0,True
CUST_00345,Small,Basic,12,29,6,8,3,1,2.8,0,True
CUST_00346,Large,Enterprise,3,299,0,6,1,1,4.0,0,False
CUST_00347,Medium,Basic,1,29,13,8,4,0,4.9,0,True
CUST_00348,Medium,Basic,1,29,4,6,7,0,5.0,0,False
CUST_00349,Small,Pro,1,99,3,2,2,0,4.8,0,True
CUST_00350,Small,Pro,2,99,2,5,2,1,4.5,0,False
CUST_00351,Small,Pro,6,99,10,6,1,1,4.2,0,False
CUST_00352,Small,Enterprise,10,299,4,6,1,2,3.9,0,False
CUST_00353,Large,Basic,11,29,8,10,7,3,3.8,0,False
CUST_00354,Small,Basic,4,29,5,18,2,0,4.3,0,True
CUST_00355,Medium,Basic,1,29,17,18,3,2,4.5,0,True
CUST_00356,Small,Basic,1,29,0,13,4,2,2.1,0,True
CUST_00357,Large,Basic,3,29,8,13,2,0,1.6,1,True
CUST_00358,Medium,Basic,4,29,0,9,10,0,3.9,0,False
CUST_00359,Medium,Basic,24,29,6,6,1,1,4.2,0,False
CUST_00360,Medium,Pro,1,99,2,9,3,2,5.0,0,False
CUST_00361,Medium,Basic,5,29,1,17,10,0,3.2,0,False
CUST_00362,Large,Enterprise,5,299,1,6,9,0,4.4,1,False
CUST_00363,Small,Basic,4,29,0,4,1,0,3.0,0,True
CUST_00364,Medium,Basic,1,29,2,9,2,1,2.4,0,True
CUST_00365,Small,Basic,3,29,0,18,5,1,3.2,0,False
CUST_00366,Small,Basic,19,29,4,13,1,1,2.8,0,True
CUST_00367,Large,Basic,7,29,0,10,3,2,4.3,1,True
CUST_00368,Small,Basic,19,29,7,12,1,1,3.4,0,True
CUST_00369,Small,Basic,1,29,20,6,2,1,5.0,1,True
CUST_00370,Large,Basic,14,29,0,6,1,0,5.0,0,False
CUST_00371,Medium,Enterprise,1,299,7,7,3,0,5.0,0,False
CUST_00372,Small,Enterprise,1,299,1,5,9,1,2.5,0,True
CUST_00373,Small,Basic,3,29,2,8,1,2,3.3,0,True
CUST_00374,Medium,Pro,1,99,2,19,3,2,1.3,1,True
CUST_00375,Small,Enterprise,9,299,0,7,7,1,4.5,0,False
CUST_00376,Large,Basic,2,29,3,5,1,0,3.4,0,True
CUST_00377,Small,Basic,3,29,14,3,3,2,4.3,0,True
CUST_00378,Small,Basic,11,29,0,5,1,1,5.0,0,False
CUST_00379,Small,Basic,5,29,2,14,5,0,2.4,0,True
CUST_00380,Large,Basic,6,29,0,11,4,0,1.1,0,True
CUST_00381,Large,Enterprise,3,299,4,8,4,1,4.3,0,False
CUST_00382,Small,Enterprise,15,299,3,2,4,2,2.5,0,False
CUST_00383,Small,Basic,3,29,2,7,8,0,3.4,0,False
CUST_00384,Small,Basic,8,29,3,11,3,0,4.5,0,False
CUST_00385,Medium,Pro,3,99,0,4,1,2,2.8,0,True
CUST_00386,Small,Pro,1,99,0,2,1,0,3.4,1,True
CUST_00387,Medium,Enterprise,2,299,5,4,1,0,4.2,0,True
CUST_00388,Small,Pro,1,99,9,2,2,0,3.4,0,True
CUST_00389,Small,Basic,2,29,1,3,1,2,4.7,0,True
CUST_00390,Small,Basic,2,29,3,10,4,1,4.2,0,False
CUST_00391,Small,Pro,11,99,1,6,2,2,2.2,0,True
CUST_00392,Large,Basic,11,29,4,7,1,2,3.3,0,False
CUST_00393,Small,Basic,5,29,1,8,1,2,3.9,0,False
CUST_00394,Medium,Basic,8,29,8,21,6,0,3.3,0,True
CUST_00395,Medium,Basic,9,29,7,9,3,0,5.0,0,False
CUST_00396,Medium,Pro,1,99,0,6,1,2,4.3,0,False
CUST_00397,Small,Enterprise,2,299,1,5,5,1,4.5,1,False
CUST_00398,Small,Pro,32,99,12,5,3,1,3.9,0,False
CUST_00399,Medium,Basic,5,29,0,5,2,2,1.8,0,True
CUST_00400,Small,Pro,1,99,4,2,1,1,5.0,1,True
CUST_00401,Small,Basic,19,29,8,6,1,0,3.2,0,False
